Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2003-07-28 00:00:00-04:00,63.88419734009756,64.50486562347425,63.75119739632133,63.913753509521484,2211400,0.0,0.0
2003-07-29 00:00:00-04:00,63.91375858427682,64.90386497090984,63.52953962578456,64.1575927734375,3983000,0.0,0.0
2003-07-30 00:00:00-04:00,64.32014721340646,64.54181003998076,63.62559128816126,64.24625396728516,3306300,0.0,0.0
2003-07-31 00:00:00-04:00,64.98513169814233,65.83485316722077,64.31274722875385,64.38663482666016,4138500,0.0,0.0
2003-08-01 00:00:00-04:00,64.24627052804897,64.32016379321774,62.76111060420283,62.879329681396484,3897500,0.0,0.0
2003-08-04 00:00:00-04:00,62.87933402017104,63.211836824579784,61.645393073507925,62.546836853027344,4024700,0.0,0.0
2003-08-05 00:00:00-04:00,62.694644004012666,63.16014703947549,61.253814697265625,61.253814697265625,3488600,0.0,0.0
2003-08-06 00:00:00-04:00,61.32766995667085,62.90149849361341,61.29811377660548,62.1035041809082,4479100,0.0,0.0
2003-08-07 00:00:00-04:00,62.11087056130149,62.64287037003214,61.734042061169994,62.620704650878906,2808700,0.0,0.0
2003-08-08 00:00:00-04:00,62.96062066979531,63.61823027629765,62.95323021431051,63.41134262084961,2859900,0.0,0.0
2003-08-11 00:00:00-04:00,63.403945393478146,63.53694539167045,62.56900440537742,63.36700439453125,2574600,0.0,0.0
2003-08-12 00:00:00-04:00,63.37435949191085,64.78563690185547,63.37435949191085,64.78563690185547,3216100,0.0,0.0
2003-08-13 00:00:00-04:00,64.94820193031985,65.02208954098194,64.19453364468191,64.5787582397461,3118200,0.0,0.0
2003-08-14 00:00:00-04:00,64.4014521573084,65.0590617339977,63.876836949721344,64.98516845703125,2885400,0.0,0.0
2003-08-15 00:00:00-04:00,64.99253994574995,65.19942753144373,64.33493056096734,64.84476470947266,991200,0.0,0.0
2003-08-18 00:00:00-04:00,64.84475962065171,65.56148129860466,64.1871502874763,65.22158813476562,2899000,0.0,0.0
2003-08-19 00:00:00-04:00,65.25856300430642,65.83489452217225,64.9482315158042,65.78317260742188,2410300,0.0,0.0
2003-08-20 00:00:00-04:00,65.31766261094485,65.52455022951843,64.7265502973648,64.8004379272461,2535400,0.0,0.0
2003-08-21 00:00:00-04:00,65.20679673413413,65.45063086806586,64.57135327815197,65.09596252441406,2170400,0.0,0.0
2003-08-22 00:00:00-04:00,65.83487866024662,65.83487866024662,64.20193787397072,64.27582550048828,2836200,0.0,0.0
2003-08-25 00:00:00-04:00,64.28322980328338,64.28322980328338,63.55911737797589,64.08373260498047,2005800,0.0,0.0
2003-08-26 00:00:00-04:00,64.08371398540118,64.20193305149645,63.17487989943416,63.92115783691406,2586700,0.0,0.0
2003-08-27 00:00:00-04:00,63.9211403114766,63.9211403114766,63.35958439901103,63.52214050292969,1458500,0.0,0.0
2003-08-28 00:00:00-04:00,63.87684760974762,64.25368196355498,62.9827940544529,64.17979431152344,1741700,0.0,0.0
2003-08-29 00:00:00-04:00,64.20931932649485,65.46542571299754,64.09848508362373,65.38414764404297,2374700,0.0,0.0
2003-09-02 00:00:00-04:00,65.4211023273395,66.9653745531254,65.4211023273395,66.8323745727539,3802000,0.0,0.0
2003-09-03 00:00:00-04:00,67.01709014267409,67.60081191059106,66.52942735208438,67.10575866699219,3810600,0.0,0.0
2003-09-04 00:00:00-04:00,67.16484732610206,67.60078806639018,66.94317891212583,67.43084716796875,3691500,0.0,0.0
2003-09-05 00:00:00-04:00,67.43087413005128,68.14020544623301,66.75109335277095,67.2092056274414,2693200,0.0,0.0
2003-09-08 00:00:00-04:00,67.59344211635053,67.96288592721604,66.5516078638225,67.49738311767578,4167700,0.0,0.0
2003-09-09 00:00:00-04:00,67.38654030450628,68.05893066093122,67.12793079713687,67.8224868774414,3078700,0.0,0.0
2003-09-10 00:00:00-04:00,67.38652005834363,67.39391050983787,65.99741395235354,66.0860824584961,4240700,0.0,0.0
2003-09-11 00:00:00-04:00,66.08609473511686,66.8397574469146,65.62059203797182,66.38164520263672,3226500,0.0,0.0
2003-09-12 00:00:00-04:00,66.35208775861055,67.17963800114237,65.90875082895337,67.03925323486328,2838900,0.0,0.0
2003-09-15 00:00:00-04:00,66.4481657879763,67.04666297332764,65.90877532958984,65.90877532958984,2756500,0.0,0.0
2003-09-16 00:00:00-04:00,66.11565759014827,67.31265176144299,66.09348622930648,67.18704223632812,3992000,0.0,0.0
2003-09-17 00:00:00-04:00,67.01713902437625,67.97030521628696,66.79547600779787,67.23880767822266,3188300,0.0,0.0
2003-09-18 00:00:00-04:00,67.75599748458984,69.07860709817946,67.2831098239759,68.90127563476562,5804300,0.0,0.0
2003-09-19 00:00:00-04:00,68.90128991950513,69.2633433765724,68.56879265201208,69.2559585571289,3771500,0.0,0.0
2003-09-22 00:00:00-04:00,68.64268643544352,68.79046175924059,68.0220176735079,68.4653549194336,3700400,0.0,0.0
2003-09-23 00:00:00-04:00,67.09098130516664,67.49736601176923,65.75359121542891,65.80531311035156,10655700,0.0,0.0
2003-09-24 00:00:00-04:00,65.81272766222231,65.81272766222231,63.33006452231419,63.41134262084961,9448500,0.0,0.0
2003-09-25 00:00:00-04:00,63.41133528883382,63.88422291439849,62.97539429915536,63.189666748046875,5768300,0.0,0.0
2003-09-26 00:00:00-04:00,63.55911755043049,63.69950801752524,62.21434216029562,62.58378601074219,4020600,0.0,0.0
2003-09-29 00:00:00-04:00,62.91625796473647,63.53692062283517,62.487701955708495,62.805423736572266,4695800,0.0,0.0
2003-09-30 00:00:00-04:00,62.6207176045593,62.70199568310979,61.80055200265117,61.9926643371582,5257900,0.0,0.0
2003-10-01 00:00:00-04:00,61.992679002350954,63.640395412359624,61.992679002350954,63.544342041015625,4332500,0.0,0.0
2003-10-02 00:00:00-04:00,63.54433050154039,63.84727710865574,63.1009990906105,63.514774322509766,2957500,0.0,0.0
2003-10-03 00:00:00-04:00,63.721668218285416,65.10339012849714,63.721668218285416,64.0320053100586,4120100,0.0,0.0
2003-10-06 00:00:00-04:00,64.03198539300286,65.02209181244218,63.876814076749426,64.0763168334961,3215900,0.0,0.0
2003-10-07 00:00:00-04:00,64.07632276754082,64.51965412532033,63.42609818135107,64.16498565673828,3785600,0.0,0.0
2003-10-08 00:00:00-04:00,64.17240272479827,64.37190558276254,63.21185199077438,63.7364616394043,2808000,0.0,0.0
2003-10-09 00:00:00-04:00,64.78569291137431,65.35463412814966,64.14285839294436,64.28324890136719,4164200,0.0,0.0
2003-10-10 00:00:00-04:00,64.29058296741502,64.52702666842117,63.86202699769683,64.23886108398438,2729900,0.0,0.0
2003-10-13 00:00:00-04:00,64.80044225230182,65.52455460290449,64.74133552681063,65.14772033691406,1987100,0.0,0.0
2003-10-14 00:00:00-04:00,65.1477246390368,65.59105611445528,64.34233978304087,65.49500274658203,3297900,0.0,0.0
2003-10-15 00:00:00-04:00,66.09349009506798,66.22649008157585,65.42849579979338,65.5762710571289,4037000,0.0,0.0
2003-10-16 00:00:00-04:00,65.20682180087185,65.4728217515506,64.76349042882869,65.01470947265625,4122900,0.0,0.0
2003-10-17 00:00:00-04:00,65.04426479790013,65.4284894493032,64.08371444392078,64.40882110595703,3340500,0.0,0.0
2003-10-20 00:00:00-04:00,64.28323606973518,64.45318273744314,63.50001683648891,64.2906265258789,3232600,0.0,0.0
2003-10-21 00:00:00-04:00,64.2979732102051,65.69447545526933,64.2979732102051,64.7413101196289,3029500,0.0,0.0
2003-10-22 00:00:00-04:00,63.91379018115378,64.1723997654162,63.573902493656576,63.891624450683594,3431700,0.0,0.0
2003-10-23 00:00:00-04:00,63.891624729124956,65.1513738072967,63.743415297003025,64.4696273803711,3889600,0.25,0.0
2003-10-24 00:00:00-04:00,64.46963075134957,64.46963075134957,62.99498215970363,63.59521484375,3396700,0.0,0.0
2003-10-27 00:00:00-05:00,64.84018088559455,65.59602964947027,64.32146169995583,65.35149383544922,4347800,0.0,0.0
2003-10-28 00:00:00-05:00,65.91464409192767,68.36004638671875,65.72198028111362,68.36004638671875,7022300,0.0,0.0
2003-10-29 00:00:00-05:00,68.65643310546875,69.03436000210212,68.1747624573847,68.65643310546875,5216600,0.0,0.0
2003-10-30 00:00:00-05:00,69.24926941024523,69.6568382786394,69.04178186037609,69.23445129394531,4359700,0.0,0.0
2003-10-31 00:00:00-05:00,69.23444048331434,70.31634371984913,69.23444048331434,69.58272552490234,3561200,0.0,0.0
2003-11-03 00:00:00-05:00,70.13849896016386,71.73171478009152,70.06439708208578,71.2796859741211,5128000,0.0,0.0
2003-11-04 00:00:00-05:00,71.28705644028902,71.28705644028902,70.18292374611029,71.10179901123047,3024200,0.0,0.0
2003-11-05 00:00:00-05:00,71.10183845083266,71.32414975046038,69.84950138018928,70.74614715576172,4089800,0.0,0.0
2003-11-06 00:00:00-05:00,70.74616404463545,71.65022192031296,70.13851942135241,71.53165435791016,3294500,0.0,0.0
2003-11-07 00:00:00-05:00,71.53163012979682,72.16891642782858,71.28708885537776,71.86509704589844,3537700,0.0,0.0
2003-11-10 00:00:00-05:00,71.8650786425702,71.8650786425702,70.82763570305299,71.19815063476562,3144100,0.0,0.0
2003-11-11 00:00:00-05:00,71.20556266609096,71.39823202929475,70.73130396713519,71.21297454833984,1801200,0.0,0.0
2003-11-12 00:00:00-05:00,71.10183546014535,71.768763677365,70.90175982178494,71.65760803222656,2237700,0.0,0.0
2003-11-13 00:00:00-05:00,71.66502200197282,71.66502200197282,70.04216423510772,71.1537094116211,1991600,0.0,0.0
2003-11-14 00:00:00-05:00,71.20557506159734,71.65019761617695,69.24925617444532,69.50862121582031,3642800,0.0,0.0
2003-11-17 00:00:00-05:00,69.5160013643496,70.17551741162833,69.0195127721031,69.84205627441406,3130100,0.0,0.0
2003-11-18 00:00:00-05:00,70.39787010233873,70.43492387436365,69.17516912247048,69.4567642211914,2454400,0.0,0.0
2003-11-19 00:00:00-05:00,69.13809549600745,69.67163230248315,69.0639879792991,69.60494232177734,2768900,0.0,0.0
2003-11-20 00:00:00-05:00,69.47155032436152,69.60493592712865,67.95243682915844,67.99690246582031,3723700,0.0,0.0
2003-11-21 00:00:00-05:00,68.43412166617436,69.13810358196866,68.2414522766968,68.89356231689453,3075500,0.0,0.0
2003-11-24 00:00:00-05:00,69.6198073589544,70.46458160562494,69.2863459234421,70.33860778808594,2544200,0.0,0.0
2003-11-25 00:00:00-05:00,71.10180836231993,71.61312074292233,70.83503717710204,71.3241195678711,3013900,0.0,0.0
2003-11-26 00:00:00-05:00,71.50196749138378,71.65758307894326,70.67201769106651,71.6353530883789,2038900,0.0,0.0
