Date,Open,High,Low,Close,Volume
2005-09-29,823.6645482556573,834.9476242591595,795.4568582469019,818.0230102539062,81919000
2005-09-30,823.6644983483641,863.1552619678062,801.0983477086828,840.589111328125,91878000
2005-10-03,823.6644777109926,829.306015229561,778.5321775624451,801.0983276367188,116715000
2005-10-04,806.739859008789,812.3813964843749,778.5321716308594,789.8152465820312,47337000
2005-10-05,795.4567840576171,812.3813964843749,778.5321716308594,789.8152465820312,71891000
2005-10-06,772.8909274428638,778.532467059235,744.6832293610074,755.96630859375,49897000
2005-10-07,755.96630859375,778.532467059235,750.3247689773787,755.96630859375,55836000
2005-10-10,755.96630859375,755.96630859375,755.96630859375,755.96630859375,0
2005-10-11,778.5322442416486,818.0230102539062,772.8907062398976,818.0230102539062,67037000
2005-10-12,823.6645456949869,840.5891596476237,801.098393758138,812.3814697265625,63301000
2005-10-13,795.4569817620355,840.589292783995,795.4569817620355,834.94775390625,59362000
2005-10-14,834.9476216634114,840.5891596476237,801.098393758138,812.3814697265625,57773000
2005-10-17,806.7399791772815,806.7399791772815,778.5322875976562,778.5322875976562,37847000
2005-10-18,778.5323503892199,801.0985054729654,772.8908116182836,784.1738891601562,39912000
2005-10-19,795.4567840576171,801.098321533203,784.1737091064452,789.8152465820312,31103000
2005-10-20,795.4567901181504,806.7398651552872,789.815252599582,801.0983276367188,37761000
2005-10-21,778.5321775624451,801.0983276367189,778.5321775624451,801.0983276367188,24575000
2005-10-24,795.4567840576171,801.098321533203,784.1737091064452,789.8152465820312,17880000
2005-10-25,795.4569091796875,801.098447542664,789.815370816711,795.4569091796875,23586000
2005-10-26,789.815252599582,801.0983276367189,784.1737150810135,801.0983276367188,26947000
2005-10-27,812.3814697265625,818.0230077107747,806.7399317423502,812.3814697265625,50522000
2005-10-28,812.3812827797203,823.6643561516609,806.73974609375,806.73974609375,47300000
2005-10-31,818.0230102539062,823.6645482556573,806.7399342504041,818.0230102539062,48846000
2005-11-01,834.9478791889392,857.5140380859375,834.9478791889392,857.5140380859375,43187000
2005-11-02,840.589193223398,902.646113528481,834.947655013845,891.363037109375,123566000
2005-11-03,891.3631695371686,930.8539428710938,891.3631695371686,930.8539428710938,123566000
2005-11-04,930.8539428710938,942.137020966501,919.5708647756866,930.8539428710938,85733000
2005-11-07,942.137020966501,959.0616381096117,925.2124038233902,930.8539428710938,81011000
2005-11-08,936.4953522858797,942.1368905526621,908.2876609519676,913.92919921875,35542000
2005-11-09,885.721432808118,902.6460461738783,880.0798950195312,880.0798950195312,44842000
2005-11-10,868.7967560798892,885.7213682113155,834.9475318170363,874.4382934570312,72521000
2005-11-11,897.0045083852915,902.6460461738783,874.4383572309446,880.0798950195312,39737000
2005-11-14,885.7214243770425,885.7214243770425,857.5137357026144,863.1552734375,22641000
2005-11-15,857.5140372775248,868.797116715387,846.2309578396627,851.8724975585938,29591000
2005-11-16,834.9478791889392,863.1555778101871,834.9478791889392,857.5140380859375,44430000
